OBJECTID,SCHOOL_ID,SCHOOLDIST,POLYTYPE,PRIMARYPOL,USERNAME,UPDATE_,EDITED,EACODE,District2,Inst_ID,SchDist,SEDdir_BOC,SEDdir_B_1,SED_CODE_1,POPULAR_NA,INSTPECD,INSTSUBYPE,INSSUBDE,MUNICODE,SDLCODE,ORPTSCOD_1,Shape__Area,Shape__Length
520,521,VOORHEESVILLE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,13403,VOORHEESVILLE,8E+11,VOORHEESVILLE,190,BOCES CAPITAL REGION,11003060000,VOORHEESVILLE CSD,16,7,INDEPENDENT CENTRAL,10658100300,11003,13403,95033971.55,71953.62071
521,522,GENESEO,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,242601,GENESEO,8E+11,GENESEO,2490,BOCES GENESEE VALLEY,2.40401E+11,GENESEO CSD,16,4,CENTRAL,2.40732E+11,240401,242601,52713.47949,948.1282985
522,523,NORTH GREENBUSH,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,383201,NO GREENBUSH COM,8E+11,NO GREENBUSH COM,4990,BOCES QUESTAR III (R-C-G),4.90801E+11,NORTH GREENBUSH COMN SD (WILLIAMS),16,5,COMMON,3.8106E+11,490801,383201,7474900.85,21230.47451
523,524,DALTON-NUNDA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,244001,DALTON-NUNDA,8E+11,DALTON-NUNDA,2490,BOCES GENESEE VALLEY,2.41101E+11,DALTON-NUNDA CSD (KESHEQUA),16,4,CENTRAL,2.4076E+11,241101,244001,302924159.2,121978.8517
524,525,SHERBURNE-EARLVILLE,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,85601,SHERBURNE EARLVL,8E+11,SHERBURNE EARLVL,1290,BOCES DELAW-CHENANGO-MADISON-OTSEGO,82001040000,SHERBURNE-EARLVILLE CSD,16,4,CENTRAL,80777400100,82001,85601,216222.6895,1865.944057
525,526,GUILDERLAND,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,13002,GUILDERLAND,8E+11,GUILDERLAND,190,BOCES CAPITAL REGION,10802060000,GUILDERLAND CSD,16,7,INDEPENDENT CENTRAL,10635500200,10802,13002,379680.1809,4537.145763
526,527,WYNANTSKILL,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,383204,WYNANTSKILL,8E+11,WYNANTSKILL,4990,BOCES QUESTAR III (R-C-G),4.90804E+11,WYNANTSKILL UFSD,16,2,UNION FREE,3.8096E+11,490804,383204,7885387.801,16526.40978
527,528,WAYLAND,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,467401,WAYLAND-COHOCTON,8E+11,WAYLAND-COHOCTON,2490,BOCES GENESEE VALLEY,5.73002E+11,WAYLAND-COHOCTON CSD,16,4,CENTRAL,4.60788E+11,573002,467401,72158.16821,1107.525875
528,529,MENANDS,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,12615,MENANDS,8E+11,MENANDS,190,BOCES CAPITAL REGION,10615020000,MENANDS UFSD,16,2,UNION FREE,10918701500,10615,12615,7607070.395,12145.61054
529,530,LIVONIA,DTM ONLY,Y,unknown,1/1/1900 0:00,NONE,243401,LIVONIA,8E+11,LIVONIA,2490,BOCES GENESEE VALLEY,2.40801E+11,LIVONIA CSD,16,7,INDEPENDENT CENTRAL,2.40648E+11,240801,243401,21052.68933,638.4578843
